Persons,,,,,,,,,,,,,
Name,Kennitala,Address,Email,Telephone ,,,,,,,,,
Jökull Þórðarson,120389-4569,"Bláfjallagata 12, 105 Reykjavík",jokull.thordarson@email.is,772-8391,,,,,,,,,
,,,,,,,,,,,,,
Incomes,,,,,,,,,,,,,
Type,Payer,Amount,Explanation,Currency,,,,,,,,,
Wages,Norðurljós Software ehf,"ISK 9,360,000",,ISK,,,,,,,,,
Wages,Mús & Merki ehf.,"ISK 900,000",,ISK,,,,,,,,,
,,"ISK 120,000",Dagpeningar,ISK,,,,,,,,,
,Norðurljós Software ehf,"ISK 75,000",Íþróttastyrkur,ISK,,,,,,,,,
,,,,,,,,,,,,,
Property,,,,,,,,,,,,,
Value,Fastanúmer (JSON),Address (JSON),Type ,ValueName,Registration Number (JSON),Year of Purchase (JSON),Currency,,,,,,
"ISK 52,000,000",210-9876,Bláfjallagata 12,Domestic Property,Fasteignamat,,,ISK,,,,,,
"ISK 3,100,000",,,Vehicle,Kaupverð,KB-521,2021,ISK,,,,,,
"ISK 430,000",,,,,JU-329,2012,ISK,,,,,,
,,,,,,,,,,,,,
Debts,,,,,,,,,,,,,
Description,Type,Currency,Creditor,CreditorKennitala,LoanNumber,LoanStartDate,LoanDurationYears,YearPaymentTotal,nominalPaymentTotal,InterestPaymentTotal,Remaining,DomicileLocation (JSON),Year of purchase (JSON)
,OwnDomicile,ISK,Íslandsbanki hf.,491008-0160,56783900123,15.júní 2021,30,"ISK 2,280,000","ISK 1,360,000","ISK 920,000","ISK 28,540,000",Bláfjallagata 12,2021
Eftirstöðvar á korti númer: 4469 88XX XXXX 4567,,,,,,,,,,"ISK 39,200","ISK 217,000",,
Aukalán,,,,,,,,,,"ISK 86,000","ISK 980,000",,
0142-26-732645 Varðan,,,,,,,,,,"ISK 14,500","ISK 62,000",,
"Kílómetragjald, Skatturinn",,,,,,,,,,0,2370,,
"Þing- og sveitarsjóðsgjöld, Skatturinn",,,,,,,,,,ISK 224,ISK 0,,
